"GEOID","bus_count","propBuffQuarter","propBuffHalf"
"390610109002",52,0.907855142461832,0.999999999960475
"390610110001",0,0.0534172473673259,0.790495944840778
"390610110002",8,0.701171781794812,0.999999999985129
"390610111001",20,0.455452441933992,0.801252907870457
"390610208114",9,0.524694254188495,0.83397400549555
"390610263001",90,0.543505224094036,0.909741195803612
"390610263002",22,0.462650454955483,0.757132734486922
"390610264001",11,0.999999999985166,0.999999999985166
"390610264002",3,0.901006478239186,1.00000000010099
"390610264003",22,0.999999999933805,0.999999999933805
"390610265001",31,0.795576823725058,0.999999999904995
"390610265002",203,0.943888865863464,0.99999984152005
"390610266001",28,0.966549172111599,0.999999814127615
"390610266002",21,0.878305856291122,1.00000012356602
"390610266003",28,0.853974575143794,0.999999762178913
"390610267001",29,0.926650886046218,0.999999999993968
"390610267002",8,0.804615859587841,0.999999999981315
"390610268001",6,0.760153861756206,1.00000000001791
"390610269001",10,0.99999999993921,0.99999999993921
"390610269002",8,0.999999999945977,0.999999999945977
"390610269003",47,1.00000000000418,1.00000000000418
"390610269004",6,1.00000000005746,1.00000000005746
"390610270001",9,0.662098023577855,0.935022507120806
"390610270002",26,0.996139000180257,1.00000000001486
"390610270003",7,0.605554506022027,0.999988231214983
"390610270004",13,0.999999999978313,0.999999999978313
"390610271001",3,0.456269865573957,0.967504078464662
"390610271002",8,0.69222160328321,0.999999999991465
"390610271003",19,0.596908133207123,0.966395257637118
"390610271004",3,0.559929977555091,0.999999999930073
"390610272001",5,0.902481224982022,0.999999999993413
"390610272002",23,0.990007787538361,0.999999999962859
"390610272003",10,0.946931141955648,1.00000000001729
